time,Q,LH,Chapman,CM,Boughton,Furey,Eckhardt,EWMA,Willems,UKIH,Fixed,Local,Slide
2001-02-04,0.335,0.2953792890625,0.335,0.335,0.335,0.335,0.335,0.335,0.335,0.2953792890625,0.335,0.335,0.299
2001-02-05,0.31,0.2931803125,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.2931803125,0.292,0.31,0.292
2001-02-06,0.299,0.2922625,0.299,0.299,0.299,0.299,0.299,0.299,0.299,0.2922625,0.292,0.299,0.292
2001-02-07,0.292,0.292,0.292,0.292,0.292,0.292,0.292,0.292,0.292,0.292,0.292,0.292,0.292
2001-02-08,1.253,0.3280375,0.295957731572703,0.3059003474805868,0.30727216829583454,0.28580414651614994,0.3072835706637924,0.3056462,0.29645159101163926,0.3628,0.292,0.4066666666666666,0.292
2001-02-09,18.243,1.0345346874999994,0.4881981817257409,0.6722378614410056,0.6990010360968943,0.30067282890467667,0.6992234716119425,0.56035662396,0.4983266167358835,0.4336,0.292,0.5213333333333333,0.292
2001-02-10,4.306,1.1034104199297483,0.7044163774887977,0.7337718173814147,0.7645598507562491,0.6826196306963477,0.7648154295904549,0.613544759899768,0.7251297339767081,0.5044,0.98,0.6359999999999999,1.253
2001-02-11,2.112,1.0424484567309569,0.7422125511851958,0.7471622021540196,0.7786049699422586,0.7465563476318228,0.778865646647667,0.6348228243091912,0.7646005477209925,0.5751999999999999,0.98,0.7506666666666666,0.98
2001-02-12,1.363,0.9943624999999999,0.7475260923661364,0.7444335700874086,0.7754220231819205,0.760267775163918,0.7756785866761811,0.6451629402040008,0.7699758031134293,0.6459999999999999,0.98,0.8653333333333333,0.98
2001-02-13,0.98,0.98,0.7407328154593354,0.7338604309694978,0.763874639938248,0.7571808629131394,0.7641227884087817,0.649917626453104,0.7626582078389881,0.7168,0.98,0.98,0.98
2001-02-14,1.645,1.0049374999999998,0.7371852260047543,0.7375439012536636,0.7675835838549929,0.7459369729608752,0.7678316517681386,0.66404779615747,0.7587597025922013,0.7876000000000001,0.98,0.985,0.98
2001-02-15,1.824,1.0089490868286133,0.7426468860847274,0.7447935287355222,0.7751063618312387,0.7495676436848291,0.7753564200988257,0.680519117452034,0.7643200759317191,0.8584,1.0,0.99,0.98
2001-02-16,1.184,1.0034867719726563,0.7430396406125317,0.7384441023014153,0.7681005483819199,0.7569168035159639,0.7683448796789856,0.687668545984215,0.7645663894488917,0.9292,1.0,0.995,1.0
2001-02-17,1.0,1.0,0.7347655821857276,0.7285354150766433,0.7573115004094767,0.7500994137728029,0.7575482623857343,0.6921036526312392,0.7557310481998517,1.0,1.0,1.0,1.0
2001-02-18,12.05,1.4143749999999997,0.8409098189262233,0.948633167390714,0.9922532050581776,0.7395919079511922,0.9926131168982897,0.8533857807638756,0.8668947818774145,0.9801851851851852,1.0,1.0599,1.0
2001-02-19,25.605,1.7330021820520911,1.2008992115243458,1.4412276904456378,1.517974386895442,0.9686904727080319,1.5186092489093557,1.2048587026770285,1.2441441232997137,0.9603703703703703,1.0,1.1198,1.0
2001-02-20,7.668,1.6106336036965174,1.49976991634719,1.540660774286391,1.6229867798241155,1.4813410181123354,1.6236672540752624,1.2966353090990148,1.5569313418322215,0.9405555555555556,2.176,1.1797,2.79
2001-02-21,4.01,1.4297217499580173,1.5593870046950846,1.5599566684157955,1.6422960288258786,1.5838070912308488,1.6429758197648177,1.335165087709809,1.6185379151556816,0.9207407407407407,2.176,1.2396,2.256
2001-02-22,2.79,1.2736306886951119,1.5652916040696268,1.5531017954405506,1.6336967644250937,1.6027110152653226,1.6343612958941605,1.3558237434643297,1.6237954576398126,0.9009259259259259,2.176,1.2995,2.176
2001-02-23,2.256,1.1723304742649858,1.5525348335343645,1.535436436184213,1.6136140428127723,1.5944001636787362,1.6142577741359023,1.368606246307136,1.6095178800382017,0.8811111111111112,2.176,1.3594,2.176
2001-02-24,2.176,1.0877086208270117,1.533867994851656,1.5168429475790235,1.5926180588067937,1.5748881409219604,1.5932411720679456,1.3800712376095745,1.5890950073684476,0.8612962962962963,2.176,1.4193,1.847
2001-02-25,2.221,0.9994003671102829,1.5156175825408942,1.4999571234605356,1.5735225498428256,1.5544809931540557,1.574126703479972,1.3920124260355184,1.5691650638036416,0.8414814814814815,1.599,1.4792,1.599
2001-02-26,1.847,0.9172698225516572,1.494679709340608,1.4760021030606523,1.5469457164212945,1.53592246820823,1.5475275360714658,1.398473249585814,1.5464703323357374,0.8216666666666667,1.599,1.5391,1.599
2001-02-27,1.599,0.8519403487044943,1.4680913239098143,1.4478896537216663,1.5160055500032894,1.510064893036004,1.5165633780037344,1.4013207294416956,1.5179041936291233,0.8018518518518518,1.599,1.599,1.599
2001-02-28,2.509,0.7899844985994534,1.4495690845561457,1.4398532310433958,1.5065925676608007,1.479948141809323,1.5071385196795886,1.4170497750836237,1.497854136821931,0.7820370370370371,1.599,1.5039090909090909,1.386
2001-03-01,1.796,0.7200425744994092,1.4338927267031965,1.4173361960808195,1.481757961894683,1.47081742188158,1.4822842510573702,1.4224308682774363,1.4808349657427595,0.7622222222222222,1.599,1.4088181818181817,1.137
2001-03-02,1.386,0.6544482646615235,1.386,1.386,1.386,1.386,1.386,1.386,1.386,0.7424074074074074,0.772,1.3137272727272729,0.979
2001-03-03,1.137,0.6052278536881335,1.137,1.137,1.137,1.137,1.137,1.137,1.137,0.7225925925925927,0.772,1.137,0.854
2001-03-04,0.979,0.568516598581766,0.979,0.979,0.979,0.979,0.979,0.979,0.979,0.7027777777777778,0.772,0.979,0.772
2001-03-05,0.854,0.5403017281965037,0.854,0.854,0.854,0.854,0.854,0.854,0.854,0.682962962962963,0.772,0.854,0.696
2001-03-06,0.772,0.5181910575097337,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.6631481481481482,0.772,0.772,0.618
2001-03-07,0.696,0.5006930351456581,0.696,0.696,0.696,0.696,0.696,0.696,0.696,0.6433333333333333,0.553,0.696,0.58
2001-03-08,0.618,0.4880194974547655,0.618,0.618,0.618,0.618,0.618,0.618,0.618,0.618,0.553,0.618,0.553
2001-03-09,0.58,0.4790210783294762,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.553,0.58,0.553
2001-03-10,0.553,0.47192819278862297,0.553,0.553,0.553,0.553,0.553,0.553,0.553,0.553,0.553,0.553,0.553
2001-03-11,0.565,0.4653365597714843,0.5415152298659492,0.5417592107817677,0.5417928737636172,0.5412660719980512,0.541793153565251,0.5531704000000001,0.541527348636232,0.5640740740740742,0.553,0.5355714285714286,0.553
2001-03-12,0.62,0.45807349367187494,0.5312160898773366,0.5321283182206523,0.5322878127952426,0.5302947970029392,0.5322891380984551,0.5541193803200001,0.5312856211588846,0.5442592592592593,0.465,0.5181428571428571,0.527
2001-03-13,0.594,0.44994888124999993,0.5216538706887952,0.5223574203856955,0.5226138359141078,0.5209841375334899,0.5226159649708149,0.554685685119456,0.5218035593852873,0.5244444444444445,0.465,0.5007142857142858,0.507
2001-03-14,0.527,0.4423565468749999,0.5115168763036729,0.5116004455238435,0.5118681549744193,0.5115098297046843,0.5118703750169606,0.527,0.5117054502986883,0.5046296296296297,0.465,0.4832857142857143,0.465
2001-03-15,0.507,0.43630437499999997,0.5008922303644289,0.5008749272049328,0.501140012005758,0.5009915227242122,0.5011422073376932,0.507,0.5010838367359804,0.4848148148148148,0.465,0.46585714285714286,0.431
2001-03-16,0.465,0.43227499999999996,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.4484285714285714,0.431
2001-03-17,0.431,0.431,0.431,0.431,0.431,0.431,0.431,0.431,0.431,0.431,0.431,0.431,0.431
